ID;NOM;ADRESSE;LAT;LON
1;Centre médical d'Epalinges;Route de la Corniche 1, 1066 Epalinges;46.5426555;6.6621952
2;Urgences CHUV / Unisanté;Rue du Bugnon 44, 1011 Lausanne;46.5248345;6.6409282
3;Hôpital Riviera-Chablais à Rennaz;Route du Vieux Séquoia 20, 1847 Rennaz;46.3802674;6.9202876
4;Hôpital de Morges;Chemin du Crêt 2, 1110 Morges;46.5223927;6.4998227
5;Réseau Santé Balcon du Jura, St-Croix;Rue des Rosiers 29, 1450 Sainte-Croix;46.8191635;6.4947888
6;Permanence d'Estavayer;Rue de la Rochette, 1470 Estavayer-le-Lac;46.8507109;6.8447846
7;Hôpital de Payerne;Avenue de la Colline 3, 1530 Payerne;46.8191656;6.9476826
8;Hôpital de Nyon;Chemin Monastier 10, 1260 Nyon;46.3834976;6.2275335
9;Hôpital d'Yverdon-les-Bains;Rue d'Entremonts 11, 1400 Yverdon-les-Bains;46.7716418;6.6464918
10;Hôpital de Saint-Loup;Saint-Loup 1, 1318 Pompaples;46.6663615;6.5030958
11;Hôpital de la vallée de Joux;Rue de l'Hôpital 3, 1347 Le Sentier;46.6016928;6.2214879
12;Pôle santé du Pays d'Enhaut;Rue de l'Hôpital 17, 1660 Château-D'Oex;46.4779185;7.1408348
13;Permanence de Monthey;Route de Morgins 54, 1870 Monthey;46.2515548;6.9410911
14;Clinique Cecil - Hirslanden;Avenue Louis-Ruchonnet 53, 1003 Lausanne;46.5202457;6.6220467
15;Centre Médical du Simplon, Renens;Rue du Simplon 32A, 1020 Renens;46.5340412;6.582024
16;Permanence médicale d'Orbe;Chemin de la Magnenette 2, 1350 Orbe;46.7291557;6.5333125
17;Permanence de Cossonay;Route d'Aubonne 2, 1304 Cossonay-Ville;46.6140901;6.5045058
18;Centre médical du Valentin SA;Rue du Valentin 32, 1004 Lausanne;46.5263108;6.6314368
19;Centre médicla MedBase, Vevey;Rue des Moulins 1, 1800 Vevey;46.4648366;6.8419269
20;Centre médical de Vidy, groupe VidyMed;Route de Chavannes 11, 1007 Lausanne;46.5183908;6.6005861
21;Centre médical de La Source;Avenue Alexandre-Vinet 30, 1004 Lausanne;46.527316;6.6282964
22;Centre médical de Renens;Avenue 14-Avril 12, 1020 Renens;46.5384105;6.5826137
23;Polyclinique Nord-Sud Sàrl;Rue du Jura 2, 1023 Crissier;46.5397601;6.5788234
24;La Permanence d'Y-Parc;Avenue des Sciences 2, 1400 Yverdon-les-Bains;46.7669615;6.6447576
25;Polyclinique PMC Riviera;Rue du Grammont 2, 1815 Clarens;46.4409441;6.8920029
26;Permanence médicale de la Riviera;Avenue de la Prairie 3, 1800 Vevey;46.4578884;6.8548161
27;Permanence Unisanté-Flon;Voie du Chariot 4, 1003 Lausanne;46.5210011;6.6295449
28;Clinique de Genolier;Route du Muids 3, 1272 Genolier;46.4450796;6.2166117
29;Clinique de Montchoisi;Chemin des Allinges 10, 1001 Lausanne;46.5097884;6.6356562
30;Polyclinique de la Venoge;Pra-Gérémoz 9, 1305 Penthalaz;46.6090515;6.5269073
31;Centre médical de Morges;Rue de la Gare 15, 1110 Morges;46.509304;6.4952849
32;Centre médical Lausanne-Ouest;Route de Renens 24, 1008 Prilly;46.5295948;6.6008215
33;Clinique Bois-Cerf Hirslanden;Avenue d'Ouchy 31, 1006 Lausanne;46.5118308;6.6308846
34;Centre médical d'Aubonne;Rue de Tévelin 67, 1170 Aubonne;46.4917243;6.3887023
35;Centre médical de Gland;Allée du Communet 20, 1196 Gland;46.4273752;6.266102
36;Centre médical Terre-Bonne;Route de Crassier 7A, 1262 Eysins;46.384759;6.2147368
37;Centre médical Avenchois - AVENTIMED;Route d'Oleyres 2, 1580 Avenches;46.8775304;7.0420573
38;Centre médical de la Veveyse;Place d'Armes 30, 1618 Châtel-Saint-Denis;46.5276491;6.9006458
39;Quai Santé;Avenue des Alpes 74, 1820 Montreux;46.4360863;6.9103195
40;Centre médical VIVA;Grand'Rue 80, 1820 Montreux;46.4365171;6.9090152
41;Centre médical Charpentiers;Rue Centrale 24, 1110 Morges;46.5105011;6.4965475
42;Centre médical Arcades EPFL;Rue Louis Favre, 1024 Ecublens;46.52288;6.5640392
43;Centre médical de Bussigny;Rue Saint-Germain 2, 1030 Bussigny;46.550579;6.5513142
