ID;CODE;SDIS;TYPE;NOM;ADRESSE;LAT;LON
1;S-132; SDIS Lausanne - Epalinges;DAP;Caserne centrale de Lausanne;Rue de la Vigie 2, 1003 Lausanne;46.5222899;6.6245722
2;S-608; SDIS Haut-Lac;DAP;Caserne de Rennaz;Route du Pré-de-la-Croix 6, 1847 Rennaz;46.382362;6.92273
3;S-609; SDIS La Mèbre;DAP;Caserne de Romanel;Chemin de l’Orio 29, 1032 Romanel-sur-Lausanne;46.5670088;6.6046803
4;S-609; SDIS La Mèbre;DAP;Caserne du Mont;Route du Jorat 6, 1052 Le Mont-sur-Lausanne;46.5604701;6.636276
5;S-609; SDIS La Mèbre;DAP;Caserne de Cheseaux;Route de Genève 18, 1033 Cheseaux-sur-Lausanne;46.5821552;6.5970804
6;S-602; SDIS Etraz Région;DAP;Local du feu de Gilly;-;46.4578192;6.2986944
7;S-602; SDIS Etraz Région;DAP;Local du feu de Longirod;-;46.4952907;6.2582471
8;S-602; SDIS Etraz Région;DAP;Local du feu de Mollens;-;46.578286;6.36257
9;S-602; SDIS Etraz Région;DAP;Local du feu de Perroy;-;46.4705133;6.3687753
10;S-602; SDIS Etraz Région;DAP;Caserne d'Aubonne;Chemin des Liserons 15, 1170 Aubonne;46.4946494;6.3953969
11;S-602; SDIS Etraz Région;DAP;Caserne de Gimel;Rue des Sept Fontaines 2, 1188 Gimel;46.5122705;6.3085639
12;S-602; SDIS Etraz Région;DAP;Caserne de Rolle;Z.A. La Pièce 5, 1180 Rolle;46.4618958;6.3230637
13;S-612; SDIS Sorge;DAP;Caserne de Crissier;Chemin de Chisaz 1, 1023 Crissier;46.5505447;6.5782176
14;S-650; SDIS Pays d'Enhaut;DAP;Local du feu de L'Etivaz;Route de l'Eau Froide, 1660 Château d'Oex;46.422383;7.1530339
15;S-650; SDIS Pays d'Enhaut;DAP;Local du feu de Rossinière;Chemin de l'Eglise 18, 1669 Haut-Intyamon;46.4856959;7.0444891
16;S-650; SDIS Pays d'Enhaut;DAP;Local du feu de Château d'Oex;Route des Monnaires 24, 1660 Château d'Oex;46.4737348;7.1345395
17;S-650; SDIS Pays d'Enhaut;DAP;Local du feu de Rougemont;Rue des Allamans 36, 1659 Rougemont;46.4893275;7.213164
18;S-665; SDIS Terre Sainte;DAP;Caserne de Founex;Chemin Balessert 1, 1297 Founex;46.339663;6.1660609
19;S-665; SDIS Région Venoge;DAP;Organe d'intervention de Boussens;Grand-Rue 8, 1034 Boussens;46.6030538;6.5827813
20;S-665; SDIS Région Venoge;DAP;Organe d'intervention Veyron-La Tine 1;Route de Vullierens 2, 1117 Grancy;46.5918445;6.465602
21;S-665; SDIS Région Venoge;DAP;Organe d'intervention Veyron-La Tine 2;Rue du Collège, 1316 Chevilly;46.643202;6.476385
22;S-665; SDIS Région Venoge;DAP;Caserne de Penthalaz;Chemin de l'Islettaz 3, 1305 Penthalaz;46.6073072;6.5224678
23;S-665; SDIS Région Venoge;DAP;Caserne de l'Isle;Rue des Artisans 4, 1148 L'Isle;46.62128;6.4174791
24;S-665; SDIS Région Venoge;DAP;Caserne de La Sarraz;Rue des Guébettes 1, 1315 La Sarraz;46.6580807;6.5157826
25;S-665; SDIS Nyon-Dôle;DAP;Caserne de Gingins;Route de Chiblins 15, 1276 Gingins;46.4081285;6.1792207
26;S-665; SDIS Nyon-Dôle;DAP;Caserne de Crassier;Route de Nyon 5, 1263 Crassier;46.3735282;6.1660106
27;S-665; SDIS Nyon-Dôle;DAP;Caserne d'Arzier;Rue du Village 10, 1273 Arzier;46.4595514;6.2095561
28;S-665; SDIS Nyon-Dôle;DAP;Caserne de Nyon;Route de Champ-Colin 4, 1260 Nyon;46.3834904;6.2195747
29;S-665; SDIS Nyon-Dôle;DAP;Caserne de Saint-Cergue;Place Sy-Vieuxville 4, 1264 St-Cergue;46.446783;6.1563056
30;S-665; SDIS Nyon-Dôle;DAP;Caserne de Genolier;Chemin de la Bregantenaz 10, 1272 Genolier;46.4342489;6.2199113
31;S-680; SDIS Gland-Serine;DAP;Caserne de Gland;Chemin de Montoly 9, 1196 Gland;46.4237352;6.2751319
32;S-680; SDIS Gland-Serine;DAP;Caserne de Le Vaud;Chemin de l'Ouche, 1261 Le Vaud;46.4783638;6.2384963
33;S-685; SDIS Gros-de-Vaud;DAP;Caserne d'Echallens;Chemin de Clopette 4,1040 Echallens.;46.6427344;6.6219096
34;S-685; SDIS Gros-de-Vaud;DAP;Caserne de Bercher;Place de la Gare, 1038 Bercher;46.6920183;6.7043071
35;S-685; SDIS Gros-de-Vaud;DAP;Caserne de Pailly;Route d’Essertines, 1416 Pailly;46.7037831;6.6731234
36;S-685; SDIS Gros-de-Vaud;DAP;Caserne de Goumoëns;Route de Penthéréaz, 1376 Goumoëns-la-Ville;46.6639983;6.6081677
37;S-685; SDIS Gros-de-Vaud;DAP;Caserne de Montiliez;Derrière-Ville, 1041 Poliez-le-Grand;46.6359634;6.6695617
38;S-685; SDIS Gros-de-Vaud;DAP;Caserne de Jorat-Menthue;Chemin des Esserts, 1059 Peney-le-Jorat;46.631298;6.7291426
