ID;CODE;SDIS;TYPE;NOM;ADRESSE;LAT;LON
1;S-132; SDIS Lausanne - Epalinges;DPS;Caserne centrale de Lausanne;Rue de la Vigie 2, 1003 Lausanne;46.5222899;6.6245722
2;S-608; SDIS Haut-Lac;DPS;Caserne de Rennaz;Route du Pré-de-la-Croix 6, 1847 Rennaz;46.382362;6.92273
3;S-609; SDIS La Mèbre;DPS;Caserne de Romanel;Chemin de l’Orio 29, 1032 Romanel-sur-Lausanne;46.5670088;6.6046803
4;S-609; SDIS La Mèbre;DPS;Caserne du Mont;Route du Jorat 6, 1052 Le Mont-sur-Lausanne;46.5604701;6.636276
5;S-609; SDIS La Mèbre;DPS;Caserne de Cheseaux;Route de Genève 18, 1033 Cheseaux-sur-Lausanne;46.5821552;6.5970804
6;S-602; SDIS Etraz Région;DPS;Caserne d'Aubonne;Chemin des Liserons 15, 1170 Aubonne;46.4946494;6.3953969
7;S-602; SDIS Etraz Région;DPS;Caserne de Bière;Avenue du Tir Fédéral 12, 1145 Bière;46.5357606;6.3391816
8;S-602; SDIS Etraz Région;DPS;Caserne de Gimel;Rue des Sept Fontaines 2, 1188 Gimel;46.5122705;6.3085639
9;S-602; SDIS Etraz Région;DPS;Local du feu de Rolle;Z.A. La Pièce 5, 1180 Rolle;46.4618958;6.3230637
10;S-612; SDIS Sorge;DPS;Caserne de Crissier;Chemin de Chisaz 1, 1023 Crissier;46.5505447;6.5782176
11;S-650; SDIS Pays d'Enhaut;DPS;Local du feu de Château d'Oex;Route des Monnaires 24, 1660 Château d'Oex;46.4737348;7.1345395
12;S-650; SDIS Pays d'Enhaut;DPS;Local du feu de Rougemont;Rue des Allamans 36, 1659 Rougemont;46.4893275;7.213164
13;S-665; SDIS Terre Sainte;DPS;Caserne de Founex;Chemin Balessert 1, 1297 Founex;46.339663;6.1660609
14;S-665; SDIS Région Venoge;DPS;Caserne de Penthalaz;Chemin de l'Islettaz 3, 1305 Penthalaz;46.6073072;6.5224678
15;S-665; SDIS Région Venoge;DPS;Caserne de l'Isle;Rue des Artisans 4, 1148 L'Isle;46.62128;6.4174791
16;S-665; SDIS Région Venoge;DPS;Caserne de La Sarraz;Rue des Guébettes 1, 1315 La Sarraz;46.6580807;6.5157826
17;S-665; SDIS Nyon-Dôle;DPS;Caserne de Nyon;Route de Champ-Colin 4, 1260 Nyon;46.3834904;6.2195747
18;S-665; SDIS Nyon-Dôle;DPS;Caserne de Saint-Cergue;Place Sy-Vieuxville 4, 1264 St-Cergue;46.446783;6.1563056
19;S-665; SDIS Nyon-Dôle;DPS;Caserne de Genolier;Chemin de la Bregantenaz 10, 1272 Genolier;46.4342489;6.2199113
20;S-680; SDIS Gland-Serine;DPS;Caserne de Gland;Chemin de Montoly 9, 1196 Gland;46.4237352;6.2751319
21;S-685; SDIS Gros-de-Vaud;DPS;Caserne d'Echallens;Chemin de Clopette 4,1040 Echallens.;46.6427344;6.6219096
22;S-685; SDIS Gros-de-Vaud;DPS;Caserne de Bercher;Place de la Gare, 1038 Bercher;46.6920183;6.7043071
23;S-690; SDIS Morget;DPS;Caserne de Morges;Avenue de Marcelin 2, 1110 Morges;46.5117924;6.4930049
24;S-690; SDIS Morget;DPS;Caserne de Saint-Prex;Chemin de la Vergognausaz 45, 1163 Saint-Prex;46.4786872;6.4339851
25;S-690; SDIS Morget;DPS;Caserne de Denges;-;46.525155;6.5361555
26;S-701; SDIS Chablais;DPS;Caserne d'Aigle;Chemin de Marjolin 91, 1860 Aigle;46.307771;6.9689613
27;S-701; SDIS Chablais;DPS;Caserne de Corbeyrier;-;46.3487657;6.9603599
28;S-702; SDIS Vallée de Joux;DPS;Hangar du Sentier;Rue de l’Orbe 9, 1347 Le Sentier;46.604972;6.231195
29;S-702; SDIS Vallée de Joux;DPS;Hangar de l'Abbaye;Place du Prédicant, 1344 L'Abbaye;46.6364247;6.320202
30;S-710; SDIS Ouest-Lavaux;DPS;Caserne de Pully;Place de la Clergère 15, 1009 Pully;46.5109716;6.6617278
31;S-710; SDIS Ouest-Lavaux;DPS;Caserne de Belmont;Route d'Arnier 80, 1092 Belmont-sur-Lausanne;46.5247845;6.6816177
32;S-710; SDIS Ouest-Lavaux;DPS;Caserne de Lutry;Chemin des Champs 4, 1095 Lutry;46.5049943;6.6867882
33;S-711; SDIS Alpin;DPS;Caserne des Mosses;Les Mosses 118, 1862 Ormont-Dessous;46.3985316;7.1027824
34;S-711; SDIS Alpin;DPS;Caserne de Leysin;Route du Camping, 1854 Leysin;46.341595;7.017464
35;S-733; SDIS Cœur de Lavaux;DPS;Caserne de Forel;Route de Vevey 11, 1072 Forel;46.5353692;6.7691312
36;S-733; SDIS Cœur de Lavaux;DPS;Caserne de Cully;Chemin du Vigny 3, 1096 Cully;46.4897069;6.7300097
37;S-735; SDIS de Malley, Prilly et Renens;DPS;Caserne de Prilly;Chemin du Centenaire 4, 1008 Prilly;46.5347821;6.6071494
38;S-735; SDIS de Malley, Prilly et Renens;DPS;Local du feu de Renens;Rue de l'Avenir 4, 1020 Renens;46.5370194;6.5844276
39;S-738; SDIS Chamberonne;DPS;Caserne d'Ecublens;Ch. des Esserts 5, 1024 Ecublens;46.5339446;6.5692626
40;S-738; SDIS Chamberonne;DPS;Caserne de Chavannes;Av. de la Gare 94 - 1022 Chavannes;46.5282744;6.5719625
41;S-741; SDIS Riviera;DPS;Caserne de Montreux;Rue de la Corsaz 4, 1820 Montreux;46.4322626;6.9151904
42;S-741; SDIS Riviera;DPS;Caserne de Vevey;Rue du Musée 5, 1800 Vevey;46.4610553;6.8448479
43;S-755; SDIS Haut-Talent;DPS;Caserne du Haut-Talent;Rte de Montheron 53, 1053 Montheron;46.5933671;6.654096
